,pais,data,preco,moeda,unidade,referencia,variacao
0,Belgium - Danis,6 Aug,0.960,EUR,kg,Live, 0%
1,Denmark,6 Aug,10.50,DKK,kg,Carcass 60%, 0%
2,France - MPB,3 Aug,1.293,EUR,kg,Carcass 56 TMV, 0%
3,Germany,5 Aug,1.470,EUR,kg,Carcass 57%, 0%
4,Italy,6 Aug,1.325,EUR,kg,160/176 kg Live, 3.9%
5,Netherlands - Beursprijs,31 Jul,1.050,EUR,kg,Live, 0%
6,Poland,31 Jul,6.441,PLN,kg,Carcass 57%, 2.9%
7,Romania,24 Jul,536.79,RON,100kg,Live, 2.0%
8,Russia,29 Jul,112.20,RUB,kg,Live, 6.8%
9,Spain - Lleida,6 Aug,1.300,EUR,kg,Live, 0%
10,United Kingdom,1 Aug,164.68,GBX,kg,SPP Euro Spec, 0.3%
11,Ukraine,31 Jul,46.30,UAH,kg,Live, 4.6%
12,Argentine,24 Jul,60.51,ARS,kg,Live, 3.0%
13,Brazil - Paraná,3 Aug,6.140,BRL,kg,Live, 1.5%
14,Brazil - Santa Catarina,6 Aug,6.610,BRL,kg,Live, 4.3%
15,Canada - Ontario,31 Jul,127.01,CAD,100kg,Carcass, 6.1%
16,Canada - Quebec,7 Aug,148.18,CAD,100kg,Carcass, 4.9%
17,Chile,31 Jul,1280,CLP,kg,Live, 0%
18,Colombia,31 Jul,5465,COP,kg,Live, 1.4%
19,Mexico - Sonora,31 Jul,25.40,MXN,kg,Live, 4.2%
20,USA - Iowa/Minnesota,6 Aug,38.81,USD,cwt,Carcass, 2.0%
21,China,29 Jul,36.94,CNY,kg,Live, 0.4%
22,South Korea,6 Aug,4279,KRW,kg,Carcass, 2.7%
