,country,date,price,CUR,unit,reference,variation
0,Belgium - Danis,6 Aug,0.96,EUR,kg,Live, 0%
1,Denmark,6 Aug,10.5,DKK,kg,Carcass 60%, 0%
2,France - MPB,3 Aug,1.293,EUR,kg,Carcass 56 TMV, 0%
3,Germany,5 Aug,1.47,EUR,kg,Carcass 57%, 0%
4,Italy,6 Aug,1.325,EUR,kg,160/176 kg Live, 3.9%
5,Netherlands - Beursprijs,31 Jul,1.05,EUR,kg,Live, 0%
6,Poland,31 Jul,6.441,PLN,kg,Carcass 57%, 2.9%
7,Romania,24 Jul,5.3679,RON,100kg,Live, 2.0%
8,Russia,29 Jul,112.2,RUB,kg,Live, 6.8%
9,Spain - Lleida,6 Aug,1.3,EUR,kg,Live, 0%
10,United Kingdom,1 Aug,1.6468,GBX,kg,SPP Euro Spec, 0.3%
11,Ukraine,31 Jul,46.3,UAH,kg,Live, 4.6%
12,Argentine,24 Jul,60.51,ARS,kg,Live, 3.0%
13,Brazil - Paraná,3 Aug,6.14,BRL,kg,Live, 1.5%
14,Brazil - Santa Catarina,6 Aug,6.61,BRL,kg,Live, 4.3%
15,Canada - Ontario,31 Jul,1.2701,CAD,100kg,Carcass, 6.1%
16,Canada - Quebec,7 Aug,1.4818,CAD,100kg,Carcass, 4.9%
17,Chile,31 Jul,1280.0,CLP,kg,Live, 0%
18,Colombia,31 Jul,5465.0,COP,kg,Live, 1.4%
19,Mexico - Sonora,31 Jul,25.4,MXN,kg,Live, 4.2%
20,USA - Iowa/Minnesota,6 Aug,0.7639463013267195,USD,cwt,Carcass, 2.0%
21,China,29 Jul,36.94,CNY,kg,Live, 0.4%
22,South Korea,6 Aug,4279.0,KRW,kg,Carcass, 2.7%
