,country,date,usd_base_kg
0,Belgium - Danis,6 Aug,1.131729813653613
1,Denmark,6 Aug,1.6613661176247212
2,France - MPB,3 Aug,1.5242985927647097
3,Germany,5 Aug,1.7329612771570948
4,Italy,6 Aug,1.562022919886497
5,Netherlands - Beursprijs,31 Jul,1.2378294836836392
6,Poland,31 Jul,1.7203158052178373
7,Romania,24 Jul,1.3074899525027401
8,Russia,29 Jul,1.5221195718529976
9,Spain - Lleida,6 Aug,1.532550789322601
10,United Kingdom,1 Aug,2.1490754721166985
11,Ukraine,31 Jul,1.6744511163706637
12,Argentine,24 Jul,0.8315837801006082
13,Brazil - Paraná,3 Aug,1.1292317453895067
14,Brazil - Santa Catarina,6 Aug,1.2156713089616678
15,Canada - Ontario,31 Jul,0.9488838418551834
16,Canada - Quebec,7 Aug,1.1070436003944657
17,Chile,31 Jul,1.622714785913945
18,Colombia,31 Jul,1.4558541094654749
19,Mexico - Sonora,31 Jul,1.1345414263955083
20,USA - Iowa/Minnesota,6 Aug,0.7639463013267195
21,China,29 Jul,5.301529894658285
22,South Korea,6 Aug,3.5982929341770555
